Taxon	Kleb_Pneu_UCI69_V1	Kleb_Pneu_UCI70_V1	Kleb_Pneu_UCI75_V1	Kleb_Pneu_UCI76_V1	Kleb_Pneu_UCI81_V1	Kleb_Pneu_UCI82_V1	Kleb_Pneu_UCI91_V1	Kleb_Pneu_UCI92_V1	Kleb_Pneu_UCI93_V1	Kleb_Pneu_UCI94_V1	Kleb_Pneu_UCI95_V1	Kleb_Pneu_UCI96_V1	Kleb_pneu_BIDMC122	Kleb_pneu_BIDMC123	Kleb_pneu_BIDMC124	Kleb_pneu_BIDMC85_V1	Kleb_pneu_BIDMC86_V1	Kleb_pneu_BIDMC89_V1	Kleb_pneu_BIDMC91_V1	Kleb_pneu_BIDMC96_V1	Kleb_pneu_BIDMC_10_V1	Kleb_pneu_BIDMC_11_V1	Kleb_pneu_BIDMC_12A_V1	Kleb_pneu_BIDMC_12B_V1	Kleb_pneu_BIDMC_12C_V1	Kleb_pneu_BIDMC_13_V1	Kleb_pneu_BIDMC_14_V1	Kleb_pneu_BIDMC_16_V1	Kleb_pneu_BIDMC_18A_V1	Kleb_pneu_BIDMC_18B_V1	Kleb_pneu_BIDMC_18C_V1	Kleb_pneu_BIDMC_18D_V1	Kleb_pneu_BIDMC_1_V1	Kleb_pneu_BIDMC_21_V1	Kleb_pneu_BIDMC_22_V1	Kleb_pneu_BIDMC_23_V1	Kleb_pneu_BIDMC_24_V1	Kleb_pneu_BIDMC_25_V1	Kleb_pneu_BIDMC_2A_V1	Kleb_pneu_BIDMC_31_V1	Kleb_pneu_BIDMC_32_V1	Kleb_pneu_BIDMC_33B_V1	Kleb_pneu_BIDMC_34_V1	Kleb_pneu_BIDMC_35_V1	Kleb_pneu_BIDMC_36_V1	Kleb_pneu_BIDMC_40_V1	Kleb_pneu_BIDMC_41_V1	Kleb_pneu_BIDMC_42a_V1	Kleb_pneu_BIDMC_42b_V1	Kleb_pneu_BIDMC_45_V1	Kleb_pneu_BIDMC_46a_V1	Kleb_pneu_BIDMC_46b_V1	Kleb_pneu_BIDMC_47_V1	Kleb_pneu_BIDMC_48_V1	Kleb_pneu_BIDMC_4_V1	Kleb_pneu_BIDMC_51_V1	Kleb_pneu_BIDMC_52_V1	Kleb_pneu_BIDMC_53_V1	Kleb_pneu_BIDMC_54_V1	Kleb_pneu_BIDMC_55_V1	Kleb_pneu_BIDMC_5_V1	Kleb_pneu_BIDMC_60_V1	Kleb_pneu_BIDMC_68_V1	Kleb_pneu_BIDMC_69_V1	Kleb_pneu_BIDMC_7A_V1	Kleb_pneu_BIDMC_7B_V1	Kleb_pneu_BWH53_V1	Kleb_pneu_BWH58_V1	Kleb_pneu_BWH62_V1	Kleb_pneu_BWH66_V1	Kleb_pneu_BWH67_V1	Kleb_pneu_BWH_15_V1	Kleb_pneu_BWH_22_V1	Kleb_pneu_BWH_28_V1	Kleb_pneu_BWH_2_V1	Kleb_pneu_BWH_30_V1	Kleb_pneu_BWH_36_V1	Kleb_pneu_BWH_41_V1	Kleb_pneu_BWH_45_V1	Kleb_pneu_BWH_46_V1	Kleb_pneu_BWH_47_V1	Kleb_pneu_BWH_48_V1	Kleb_pneu_BWH_78	Kleb_pneu_MGH101_V1	Kleb_pneu_MGH102_V1	Kleb_pneu_MGH111_V1	Kleb_pneu_MGH112_V1	Kleb_pneu_MGH115_V1	Kleb_pneu_MGH116_V1	Kleb_pneu_MGH117_V1	Kleb_pneu_MGH118_V1	Kleb_pneu_MGH124_V1	Kleb_pneu_MGH125_V1	Kleb_pneu_MGH126_V1	Kleb_pneu_MGH133_V1	Kleb_pneu_MGH134_V1	Kleb_pneu_MGH140_V1	Kleb_pneu_MGH147_V1	Kleb_pneu_MGH148_V1	Kleb_pneu_MGH149_V1	Kleb_pneu_MGH150	Kleb_pneu_MGH153_V1	Kleb_pneu_MGH155_V1	Kleb_pneu_MGH156_V1	Kleb_pneu_MGH157_V1	Kleb_pneu_MGH158_V1	Kleb_pneu_MGH161_V1	Kleb_pneu_MGH162_V1	Kleb_pneu_MGH165_V1	Kleb_pneu_MGH166_V1	Kleb_pneu_MGH167_V1	Kleb_pneu_MGH168_V1	Kleb_pneu_MGH171_V1	Kleb_pneu_MGH172_V1	Kleb_pneu_MGH181_V1	Kleb_pneu_MGH182	Kleb_pneu_MGH185_V1	Kleb_pneu_MGH186_V1	Kleb_pneu_MGH189	Kleb_pneu_MGH190	Kleb_pneu_MGH191	Kleb_pneu_MGH192	Kleb_pneu_MGH193	Kleb_pneu_MGH201	Kleb_pneu_MGH202	Kleb_pneu_MGH203	Kleb_pneu_MGH204	Kleb_pneu_MGH205	Kleb_pneu_MGH206	Kleb_pneu_MGH211	Kleb_pneu_MGH221	Kleb_pneu_MGH222	Kleb_pneu_MGH227	Kleb_pneu_MGH228	Kleb_pneu_MGH229	Kleb_pneu_MGH230	Kleb_pneu_MGH235	Kleb_pneu_MGH251	Kleb_pneu_MGH252	Kleb_pneu_MGH81_V1	Kleb_pneu_MGH82_V1	Kleb_pneu_MGH83	Kleb_pneu_MGH84_V1	Kleb_pneu_MGH89_V1	Kleb_pneu_MGH90_V1	Kleb_pneu_MGH91_V1	Kleb_pneu_MGH93_V1	Kleb_pneu_MGH94_V1	Kleb_pneu_MGH95_V1	Kleb_pneu_MGH97_V1	Kleb_pneu_MGH98_V1	Kleb_pneu_MGH_17_V1	Kleb_pneu_MGH_18_V1	Kleb_pneu_MGH_19_V1	Kleb_pneu_MGH_21_V1	Kleb_pneu_MGH_29_V1	Kleb_pneu_MGH_30_V1	Kleb_pneu_MGH_31_V1	Kleb_pneu_MGH_32_V1	Kleb_pneu_MGH_35_V1	Kleb_pneu_MGH_36_V1	Kleb_pneu_MGH_39_V1	Kleb_pneu_MGH_43_V1	Kleb_pneu_MGH_45_V1	Kleb_pneu_MGH_46_V1	Kleb_pneu_MGH_47_V1	Kleb_pneu_MGH_48_V1	Kleb_pneu_MGH_51_V1	Kleb_pneu_MGH_52_V1	Kleb_pneu_MGH_59_V1	Kleb_pneu_MGH_60_V1	Kleb_pneu_MGH_63_V1	Kleb_pneu_MGH_64_V1	Kleb_pneu_MGH_65_V1	Kleb_pneu_MGH_66_V1	Kleb_pneu_MGH_67_V1	Kleb_pneu_MGH_69_V1	Kleb_pneu_MGH_70_V1	Kleb_pneu_MGH_71_V1	Kleb_pneu_MGH_72_V1	Kleb_pneu_MGH_73_V1	Kleb_pneu_MGH_74_V1	Kleb_pneu_MGH_75_V1	Kleb_pneu_MGH_79_V1	Kleb_pneu_UCI105_V1	Kleb_pneu_UCI106_V1	Kleb_pneu_UCI107_V1	Kleb_pneu_UCI108_V1	Kleb_pneu_UCI109_V1	Kleb_pneu_UCI110_V1	Kleb_pneu_UCI111_V1	Kleb_pneu_UCI112_V1	Kleb_pneu_UCI113_V1	Kleb_pneu_UCI114_V1	Kleb_pneu_UCI115_V1	Kleb_pneu_UCI116_V1	Kleb_pneu_UCI117_V1	Kleb_pneu_UCI118_V1	Kleb_pneu_UCI149	Kleb_pneu_UCI150	Kleb_pneu_UCI163	Kleb_pneu_UCI164	Kleb_pneu_UCI171	Kleb_pneu_UCI172	Kleb_pneu_UCI177	Kleb_pneu_UCI181	Kleb_pneu_UCI182	Kleb_pneu_UCI185	Kleb_pneu_UCI186	Kleb_pneu_UCI187	Kleb_pneu_UCI188	Kleb_pneu_UCI189	Kleb_pneu_UCI190	Kleb_pneu_UCICRE-123	Kleb_pneu_UCICRE-124	Kleb_pneu_UCICRE-125	Kleb_pneu_UCICRE-126	Kleb_pneu_UCICRE-130	Kleb_pneu_UCICRE-133	Kleb_pneu_UCICRE-134	Kleb_pneu_UCICRE-137	Kleb_pneu_UCICRE-138	Kleb_pneu_UCICRE-139	Kleb_pneu_UCICRE-140	Kleb_pneu_UCICRE-145	Kleb_pneu_UCI_13_V1	Kleb_pneu_UCI_17_V1	Kleb_pneu_UCI_19_V1	Kleb_pneu_UCI_1_V1	Kleb_pneu_UCI_20_V1	Kleb_pneu_UCI_21_V1	Kleb_pneu_UCI_22_V1	Kleb_pneu_UCI_25_V1	Kleb_pneu_UCI_26_V1	Kleb_pneu_UCI_2_V1	Kleb_pneu_UCI_33_V1	Kleb_pneu_UCI_34_V1	Kleb_pneu_UCI_37_V1	Kleb_pneu_UCI_38_V1	Kleb_pneu_UCI_41_V1	Kleb_pneu_UCI_42_V1	Kleb_pneu_UCI_43_V1	Kleb_pneu_UCI_44_V1	Kleb_pneu_UCI_4_V1	Kleb_pneu_UCI_55_V1	Kleb_pneu_UCI_56_V1	Kleb_pneu_UCI_59_V1	Kleb_pneu_UCI_60_V1	Kleb_pneu_UCI_61_V1	Kleb_pneu_UCI_62_V1	Kleb_pneu_UCI_63_V1	Kleb_pneu_UCI_64_V1	Kleb_pneu_UCI_67_V1	Kleb_pneu_UCI_68_V1	Kleb_pneu_UCI_6_V1	Kleb_pneu_UCI_7_V1	Kleb_pneu_UCI_8_V1
Kleb_Pneu_UCI69_V1	0	2171	14	2245	15	1975	16	2240	16	2540	7	2208	2193	2217	2217	2204	2211	2225	2224	1981	5	2193	9	7	8	5	9	5	6	5	5	2068	13	2067	2173	2256	2134	2150	5	2129	5	2217	6	2223	2204	2114	2070	11	11	6	2071	2103	2226	2070	7	2097	2049	2071	10	2180	5	7	7	2214	12	11	8	2224	2118	2224	2255	2059	13	2241	2269	2200	10	16	8	2097	10	2210	2164	2207	1975	2213	2078	2214	2251	2215	2051	2192	14	2217	2213	2060	10	2053	2052	2053	2197	19	2214	2261	2206	2209	2053	2052	2220	2015	2052	2222	2212	1981	10	2241	2186	2060	2032	2052	2214	3092	2079	2214	2144	2214	2167	2116	2540	2209	2209	2198	2177	2213	2240	2188	2239	2227	2138	2213	1988	2058	2247	2249	2129	8	2253	2214	8	2274	2217	2194	2231	2428	2246	5	2078	15	2256	2250	2269	2088	2110	14	2185	2070	2178	10	2271	17	2205	2213	2280	2213	2130	7	64	2247	9	1986	8	2111	2213	14	12	2074	2226	2274	23	2210	2204	3119	27	2229	52	2215	20	2083	2219	1988	7	2076	11	2153	18	2229	2336	12	2179	1981	2231	2233	2257	2183	2228	2110	2244	2174	8	2038	14	2258	8	2181	14	23	49	17	1	2090	21	14	2061	2163	1991	16	2151	23	14	15	2236	16	16	2185	16	2195	19	2106	17	2110	17	2220	5	2057	2237	2211	2084
Kleb_Pneu_UCI70_V1	2171	0	2175	2328	2176	2186	2177	2173	2177	2630	2172	2089	2227	2096	2096	2227	2234	2271	2278	2225	2166	2095	2170	2168	2169	2166	2170	2166	2167	2166	2166	2204	2174	2203	2226	2336	2268	2177	2166	2205	2166	2096	2167	2269	2278	2253	2206	2172	2172	2167	2207	2246	2173	2210	2168	2266	2228	2207	2171	2280	2166	2168	2168	2274	2173	2172	2169	2276	2189	2276	2178	2227	2174	2213	2220	2251	2171	2177	2169	2241	2171	2269	2271	2086	2186	2092	2269	2093	2331	2094	2222	2094	2175	2179	2092	2240	2171	2224	2223	2224	2212	2180	2093	2335	2108	2309	2224	2223	2272	2204	2223	2218	2091	2192	2171	2120	2101	2198	2204	2223	2093	3171	2250	2093	2248	2093	2138	2297	2630	2230	2295	2077	2266	2261	2306	2103	2305	2191	2256	2092	2184	2196	2327	2361	2176	2169	2365	2237	2169	2392	2281	2264	2295	2443	2325	2166	2183	2176	2336	2362	2229	2261	2291	2175	2071	2206	2267	2171	2389	2178	2264	2092	2240	2092	2298	2168	2187	2313	2170	2186	2169	2178	2092	2175	2173	2206	2297	2234	2184	2233	2236	3166	2188	2284	2213	2094	2181	2238	2098	2184	2174	2249	2180	2098	2179	2281	2351	2173	2317	2192	2264	2285	2256	2195	2294	2291	2356	2121	2169	2160	2175	2374	2169	2334	2175	2184	2180	2178	2170	2261	2182	2175	2206	2304	2187	2177	2269	2184	2175	2176	2269	2177	2177	2071	2177	2227	2180	2202	2178	2257	2178	2268	2172	2177	2270	2257	2204
Kleb_Pneu_UCI75_V1	14	2175	0	2249	7	1978	8	2244	8	2544	15	2212	2197	2221	2221	2208	2215	2229	2228	1985	9	2197	13	11	12	9	13	9	10	9	9	2072	17	2071	2177	2260	2138	2154	9	2133	9	2221	10	2227	2208	2118	2074	15	15	10	2075	2107	2230	2074	11	2101	2053	2075	14	2184	9	11	11	2218	16	15	12	2228	2122	2228	2259	2063	17	2245	2273	2204	14	20	12	2101	14	2214	2168	2211	1978	2217	2082	2218	2255	2219	2055	2196	18	2221	2217	2064	14	2057	2056	2057	2201	23	2218	2265	2210	2213	2057	2056	2224	2019	2056	2226	2216	1984	14	2245	2190	2064	2036	2056	2218	3096	2083	2218	2148	2218	2171	2120	2544	2213	2213	2202	2181	2217	2244	2192	2243	2231	2142	2217	1992	2062	2251	2253	2133	12	2257	2218	12	2278	2221	2198	2235	2432	2250	9	2082	19	2260	2254	2273	2092	2114	18	2189	2074	2182	14	2275	21	2209	2217	2284	2217	2134	11	68	2251	13	1990	12	2115	2217	18	4	2078	2230	2278	27	2214	2208	3123	31	2233	56	2219	24	2087	2223	1992	17	2080	23	2157	22	2233	2340	4	2183	1984	2235	2237	2261	2187	2232	2114	2248	2178	12	2042	6	2262	12	2185	6	27	53	21	13	2094	25	6	2065	2167	1995	8	2155	27	18	19	2240	20	20	2189	20	2199	23	2110	9	2114	21	2224	15	2061	2241	2215	2088
Kleb_Pneu_UCI76_V1	2245	2328	2249	0	2250	2252	2251	2344	2251	2669	2246	2307	2265	2314	2314	2359	2368	2248	2248	2263	2240	2280	2244	2242	2243	2240	2244	2240	2241	2240	2240	2291	2246	2290	2316	2304	2229	2302	2240	2249	2240	2314	2241	2246	2385	2178	2293	2246	2246	2241	2294	2277	2378	2295	2242	2233	2074	2294	2245	2261	2240	2242	2242	2231	2247	2246	2243	2248	2294	2248	2310	2262	2248	2411	2368	2358	2245	2249	2243	2138	2245	2247	2255	2304	2252	2310	2239	2311	2299	2312	2124	2279	2249	2331	2310	2262	2245	2126	2125	2126	2318	2252	2311	832	2293	2289	2126	2125	2244	2288	2125	2201	2309	2258	2245	2340	2318	2288	2193	2125	2311	3147	2217	2311	2209	2311	2307	2351	2647	2315	2241	2295	2236	2238	2280	2320	2279	2367	2169	2310	2268	2288	2295	2446	2207	2243	2448	2369	2243	2430	2076	2282	2263	2551	2294	2240	2285	2250	2304	2447	2356	2297	2345	2249	2271	2293	2237	2245	2427	2250	2242	2310	2367	2310	2272	2242	2255	2287	2244	2270	2243	2253	2310	2249	2247	2231	2345	2361	2258	2365	2274	3160	2262	2386	2287	2312	2255	2233	2316	2268	2248	2210	2254	2314	2253	2253	2313	2247	2097	2258	2358	2257	2406	2233	2268	2345	2439	2320	2243	2205	2249	2414	2243	2135	2249	2258	2244	2252	2244	2228	2256	2249	2224	2041	2273	2251	2186	2258	2249	2250	2363	2251	2251	2271	2251	2265	2254	2261	2252	2177	2252	2245	2246	2269	2364	2230	2307
Kleb_Pneu_UCI81_V1	15	2176	7	2250	0	1980	9	2245	7	2543	16	2213	2198	2222	2222	2209	2216	2230	2229	1986	10	2198	14	12	13	10	14	10	11	10	10	2073	18	2072	2178	2261	2139	2155	10	2134	10	2222	11	2228	2209	2119	2075	16	16	11	2076	2108	2231	2075	12	2102	2054	2076	15	2185	10	12	12	2219	17	16	13	2229	2123	2229	2260	2064	18	2246	2274	2205	15	21	13	2102	15	2215	2169	2212	1980	2218	2083	2219	2256	2220	2056	2197	19	2222	2218	2065	15	2058	2057	2058	2202	24	2219	2266	2211	2214	2058	2057	2225	2020	2057	2227	2217	1986	15	2246	2191	2065	2037	2057	2219	3097	2084	2219	2149	2219	2172	2121	2543	2214	2214	2203	2182	2218	2245	2193	2244	2232	2143	2218	1993	2063	2252	2254	2134	13	2258	2219	13	2279	2222	2199	2236	2433	2251	10	2083	20	2261	2255	2274	2093	2115	19	2190	2075	2183	15	2276	22	2210	2218	2285	2218	2135	12	69	2252	14	1991	13	2116	2218	19	3	2079	2231	2279	28	2215	2209	3124	32	2234	57	2220	25	2088	2224	1993	18	2081	24	2158	23	2234	2341	3	2184	1986	2236	2238	2262	2188	2233	2115	2249	2179	13	2043	5	2263	13	2186	5	28	54	22	14	2095	26	7	2066	2168	1996	7	2156	28	19	20	2241	21	21	2190	21	2200	24	2111	10	2115	22	2225	16	2062	2242	2216	2089
Kleb_Pneu_UCI82_V1	1975	2186	1978	2252	1980	0	1981	2155	1981	2545	1976	2116	2145	2123	2123	2206	2215	2162	2142	1774	1970	2134	1974	1972	1973	1970	1974	1970	1971	1970	1970	2009	1976	2008	2054	2177	2157	2141	1970	2109	1970	2123	1971	2159	2101	2154	2011	1976	1976	1971	2012	2017	2206	2009	1972	2059	2050	2012	1975	2081	1970	1972	1972	2148	1977	1976	1973	2144	2062	2144	2267	2032	1978	2217	2211	2149	1975	1979	1973	2123	1975	2145	2048	2113	6	2119	1839	2120	2172	2121	2060	2133	1979	2158	2119	2035	1975	2062	2061	2062	2172	1982	2120	2240	2147	2105	2062	2061	2140	2018	2061	2119	2118	10	1975	2186	2216	1981	2039	2061	2120	3063	2039	2120	2138	2120	2176	2101	2540	2243	2139	2104	2110	2152	2168	2218	2167	2234	2156	2119	1987	1978	2166	2123	2082	1973	2123	2216	1973	2193	2081	2145	2149	2409	2167	1970	2019	1980	2177	2124	2221	1864	2095	1979	2110	2011	2111	1975	2192	1980	2140	2119	2232	2119	2122	1972	1975	2175	1974	1989	1973	2015	2119	1979	1977	1908	2146	2227	1988	2212	2099	3090	1992	2108	2017	2121	1985	2103	2125	1987	1978	2075	1984	2140	1983	2149	2181	1977	2079	12	2215	2153	2218	2149	2156	2095	2114	2105	1973	1930	1979	2177	1973	2094	1979	1988	1974	1982	1974	2050	1986	1979	1362	2114	1992	1981	2163	1988	1979	1980	2220	1981	1981	2110	1981	2090	1984	2030	1982	2157	1982	2159	1976	2004	2221	2144	1979
Kleb_Pneu_UCI91_V1	16	2177	8	2251	9	1981	0	2246	10	2546	17	2214	2199	2223	2223	2210	2217	2231	2230	1987	11	2199	15	13	14	11	15	11	12	11	11	2074	19	2073	2179	2262	2140	2156	11	2135	11	2223	12	2229	2210	2120	2076	17	17	12	2077	2109	2232	2076	13	2103	2055	2077	16	2186	11	13	13	2220	18	17	14	2230	2124	2230	2261	2065	19	2247	2275	2206	16	22	14	2103	16	2216	2170	2213	1981	2219	2084	2220	2257	2221	2057	2198	20	2223	2219	2066	16	2059	2058	2059	2203	25	2220	2267	2212	2215	2059	2058	2226	2021	2058	2228	2218	1987	16	2247	2192	2066	2038	2058	2220	3098	2085	2220	2150	2220	2173	2122	2546	2215	2215	2204	2183	2219	2246	2194	2245	2233	2144	2219	1994	2064	2253	2255	2135	14	2259	2220	14	2280	2223	2200	2237	2434	2252	11	2084	21	2262	2256	2275	2094	2116	20	2191	2076	2184	16	2277	23	2211	2219	2286	2219	2134	13	70	2253	15	1992	14	2117	2219	20	6	2080	2232	2280	29	2216	2210	3125	33	2235	58	2221	26	2089	2225	1994	19	2082	25	2159	24	2235	2342	6	2185	1987	2237	2239	2263	2189	2234	2116	2250	2180	14	2044	8	2264	14	2187	8	29	55	23	15	2096	27	8	2067	2169	1997	10	2157	29	20	21	2242	22	22	2191	22	2201	25	2112	9	2116	23	2226	17	2063	2243	2217	2090
Kleb_Pneu_UCI92_V1	2240	2173	2244	2344	2245	2155	2246	0	2246	2619	2241	2143	2193	2152	2152	2236	2243	2302	2313	2205	2235	2141	2239	2237	2238	2235	2239	2235	2234	2235	2235	2253	2241	2252	2250	2324	2204	2195	2235	2260	2235	2152	2234	2302	2323	2257	2255	2241	2241	2234	2256	2239	2193	2249	2237	2229	2219	2256	2240	2335	2235	2237	2237	2320	2242	2241	2238	2313	2254	2313	2202	2270	2243	2254	1773	2254	2240	2244	2238	2262	2240	2284	2253	2142	2155	2148	2211	2149	2317	2150	2205	2140	2244	1624	2148	2283	2240	2207	2206	2207	2202	2247	2149	2359	2152	2362	2207	2206	2309	2256	2206	2267	2147	2161	2240	1792	2157	2226	2181	2206	2149	3171	2207	2149	2236	2149	2135	2284	2617	2284	2326	2133	2274	2294	2371	2159	2370	2206	2291	2148	2274	2224	2317	2408	2212	2238	2411	2246	2238	2384	2298	2307	2354	2442	2314	2235	2242	2245	2324	2409	2232	2277	2278	2244	2123	2255	2275	2240	2383	2245	2279	2148	2243	2148	2272	2237	2246	2378	2239	2276	2238	2197	2148	2244	2242	2238	2278	2237	2253	2242	2268	3163	2257	2319	2282	2150	2250	2202	2154	2274	2243	2240	2249	2095	2248	2318	2422	2242	2286	2161	2345	2322	2273	2273	2359	2278	2403	2175	2238	2179	2244	2368	2238	2296	2244	2253	2239	2247	2239	2218	2251	2244	2193	2239	2279	2246	2290	2253	2244	2245	2350	2246	2246	2123	2246	2259	2249	2188	2247	2260	2247	2301	2241	2217	2351	2288	2209
Kleb_Pneu_UCI93_V1	16	2177	8	2251	7	1981	10	2246	0	2546	17	2214	2199	2223	2223	2210	2217	2231	2230	1987	11	2199	15	13	14	11	15	11	12	11	11	2074	19	2073	2179	2262	2140	2156	11	2135	11	2223	12	2229	2210	2120	2076	17	17	12	2077	2109	2232	2076	13	2103	2055	2077	16	2186	11	13	13	2220	18	17	14	2230	2124	2230	2261	2065	19	2247	2275	2206	16	22	14	2103	16	2216	2170	2213	1981	2219	2084	2220	2257	2221	2057	2198	20	2223	2219	2066	16	2059	2058	2059	2203	25	2220	2267	2212	2215	2059	2058	2226	2021	2058	2228	2218	1987	16	2247	2192	2066	2038	2058	2220	3098	2085	2220	2150	2220	2173	2122	2546	2215	2215	2204	2183	2219	2246	2194	2245	2233	2144	2219	1994	2064	2253	2255	2135	14	2259	2220	14	2280	2223	2200	2237	2434	2252	11	2084	21	2262	2256	2275	2094	2116	20	2191	2076	2184	16	2277	23	2211	2219	2286	2219	2136	13	70	2253	15	1992	14	2117	2219	20	4	2080	2232	2280	29	2216	2210	3125	33	2235	58	2221	26	2089	2225	1994	19	2082	25	2159	24	2235	2342	4	2185	1987	2237	2239	2263	2189	2234	2116	2250	2180	14	2044	6	2264	14	2187	6	29	55	23	15	2096	27	8	2067	2169	1997	8	2157	29	20	21	2242	22	22	2191	22	2201	25	2112	11	2116	23	2226	17	2063	2243	2217	2090
Kleb_Pneu_UCI94_V1	2540	2630	2544	2669	2543	2545	2546	2619	2546	0	2541	2603	2546	2612	2612	2636	2642	2574	2600	2485	2535	2571	2539	2537	2538	2535	2539	2535	2534	2535	2535	2560	2541	2559	2579	2674	2551	2578	2535	2616	2535	2612	2534	2572	2708	2533	2562	2541	2541	2534	2563	2554	2635	2562	2537	2543	2497	2563	2540	2592	2535	2537	2537	2580	2542	2541	2538	2600	2597	2600	2635	2555	2543	2582	2656	2534	2540	2544	2538	2544	2540	2574	2533	2602	2545	2608	2609	2609	2666	2610	2505	2568	2544	2572	2608	2560	2540	2507	2506	2507	2587	2547	2609	2682	2584	2617	2507	2506	2596	2569	2506	2569	2607	2551	2540	2636	2555	2591	2500	2506	2609	3479	2527	2609	2599	2609	2575	2596	169	2681	2585	2593	2533	2564	2616	2557	2615	2659	2557	2608	2519	2589	2665	2629	2550	2538	2631	2646	2538	2615	2603	2592	2607	2840	2664	2535	2605	2545	2674	2630	2640	2538	2590	2544	2557	2562	2534	2540	2614	2545	2571	2608	2651	2608	2570	2537	2540	2623	2539	2521	2538	2514	2608	2544	2542	2569	2578	2645	2553	2642	2623	3505	2555	2678	2582	2610	2550	2528	2613	2519	2543	2538	2549	2562	2548	2605	2666	2542	2570	2551	2683	2609	2712	2541	2604	2590	2622	2616	2538	2463	2544	2599	2538	2584	2544	2553	2537	2547	2539	2538	2551	2544	2521	2596	2524	2546	2572	2553	2544	2545	2688	2546	2546	2557	2546	2614	2549	2536	2547	2534	2547	2569	2541	2578	2689	2560	2576
